,ID,Data,Produto,Categoria,Quantidade,Preço
0,1,2023-08-14,Camiseta,Marca A,1.0,70.0
1,2,2023-06-26,Calça,Marca B,1.0,115.0
3,4,2023-08-27,Calça,Marca A,3.0,80.0
4,5,2023-07-16,Camiseta,Marca A,1.0,60.0
5,6,2023-01-14,Camiseta,Marca A,2.0,55.0
6,7,2023-06-01,Tênis,Marca B,1.0,170.0
7,8,2023-05-04,Camiseta,Marca A,1.0,75.0
8,9,2023-02-15,Calça,Marca C,3.0,95.0
9,10,2023-06-23,Camiseta,Marca A,3.0,70.0
10,11,2023-05-12,Calça,Marca A,2.0,100.0
11,12,2023-08-04,Camiseta,Marca A,1.0,60.0
12,13,2023-06-30,Roupa Intíma,Marca A,4.0,40.0
13,14,2023-11-20,Calça,Marca A,2.0,100.0
14,15,2023-11-24,Meia,Marca A,3.0,45.0
15,16,2023-02-12,Tênis,Marca B,4.0,195.0
16,17,2023-10-08,Camiseta,Marca A,3.0,80.0
17,18,2023-11-19,Camiseta,Marca A,2.0,40.0
18,19,2023-05-29,Meia,Marca A,2.0,30.0
19,20,2023-11-24,Meia,Marca B,7.0,35.0
20,21,2023-11-26,Calça,Marca C,1.0,85.0
21,22,2023-01-21,Roupa Intíma,Marca B,3.0,55.0
22,23,2023-10-19,Camiseta,Marca B,4.0,85.0
24,25,2023-06-09,Meia,Marca B,3.0,40.0
25,26,2023-11-21,Calça,Marca B,2.0,120.0
26,27,2023-06-05,Calça,Marca C,1.0,85.0
27,28,2023-07-09,Camiseta,Marca A,2.0,60.0
28,29,2023-06-10,Camiseta,Marca B,2.0,90.0
30,31,2023-01-01,Camiseta,Marca A,1.0,60.0
31,32,2023-04-13,Roupa Intíma,Marca B,3.0,65.0
32,33,2023-08-30,Tênis,Marca B,2.0,195.0
33,34,2023-09-20,Tênis,Marca C,1.0,165.0
34,35,2023-01-28,Camiseta,Marca A,1.0,70.0
35,36,2023-08-08,Camiseta,Marca A,5.0,55.0
36,37,2023-02-20,Calça,Marca A,2.0,80.0
37,38,2023-07-19,Calça,Marca A,1.0,80.0
38,39,2023-12-23,Tênis,Marca A,3.0,175.0
39,40,2023-02-23,Camiseta,Marca B,2.0,80.0
40,41,2023-09-01,Tênis,Marca C,2.0,155.0
41,42,2023-04-28,Tênis,Marca A,2.0,165.0
42,43,2023-06-04,Calça,Marca A,3.0,85.0
43,44,2023-01-18,Calça,Marca A,1.0,85.0
44,45,2023-01-06,Camiseta,Marca C,7.0,45.0
46,47,2023-08-21,Tênis,Marca B,4.0,185.0
47,48,2023-05-06,Camiseta,Marca A,1.0,65.0
48,49,2023-07-12,Camiseta,Marca A,4.0,65.0
49,50,2023-03-09,Tênis,Marca A,3.0,170.0
50,51,2023-10-10,Roupa Intíma,Marca A,3.0,15.0
51,52,2023-02-17,Tênis,Marca A,4.0,175.0
52,53,2023-10-10,Camiseta,Marca A,6.0,60.0
53,54,2023-08-27,Tênis,Marca A,5.0,160.0
54,55,2023-08-09,Camiseta,Marca A,2.0,65.0
55,56,2023-11-03,Calça,Marca A,4.0,85.0
56,57,2023-11-25,Camiseta,Marca A,1.0,70.0
57,58,2023-08-14,Tênis,Marca A,1.0,170.0
58,59,2023-07-28,Calça,Marca A,1.0,90.0
59,60,2023-10-24,Calça,Marca A,1.0,100.0
60,61,2023-12-26,Tênis,Marca B,7.0,185.0
61,62,2023-04-11,Camiseta,Marca A,3.0,80.0
62,63,2023-04-12,Camiseta,Marca A,3.0,65.0
63,64,2023-01-06,Calça,Marca B,3.0,105.0
64,65,2023-05-13,Calça,Marca B,1.0,135.0
65,66,2023-05-18,Camiseta,Marca B,1.0,95.0
66,67,2023-08-30,Roupa Intíma,Marca A,2.0,40.0
67,68,2023-05-28,Camiseta,Marca B,8.0,90.0
68,69,2023-01-11,Camiseta,Marca C,3.0,45.0
69,70,2023-07-06,Calça,Marca A,8.0,110.0
70,71,2023-04-14,Meia,Marca A,2.0,35.0
71,72,2023-07-23,Calça,Marca A,4.0,100.0
72,73,2023-04-16,Calça,Marca A,6.0,120.0
73,74,2023-01-28,Camiseta,Marca B,2.0,75.0
74,75,2023-04-28,Roupa Intíma,Marca B,2.0,45.0
75,76,2023-02-13,Calça,Marca A,1.0,70.0
76,77,2023-03-24,Calça,Marca B,2.0,125.0
77,78,2023-03-28,Camiseta,Marca A,7.0,65.0
78,79,2023-10-25,Camiseta,Marca A,7.0,65.0
79,80,2023-12-27,Roupa Intíma,Marca C,3.0,15.0
80,81,2023-01-31,Calça,Marca A,6.0,100.0
81,82,2023-05-06,Tênis,Marca A,2.0,185.0
82,83,2023-11-30,Camiseta,Marca A,1.0,60.0
83,84,2023-06-16,Roupa Intíma,Marca B,3.0,40.0
84,85,2023-02-03,Roupa Intíma,Marca B,2.0,50.0
85,86,2023-04-02,Camiseta,Marca A,1.0,65.0
86,87,2023-05-16,Calça,Marca A,2.0,100.0
87,88,2023-07-06,Tênis,Marca A,4.0,150.0
88,89,2023-07-02,Roupa Intíma,Marca A,2.0,45.0
89,90,2023-02-19,Camiseta,Marca A,7.0,70.0
90,91,2023-12-25,Tênis,Marca B,2.0,180.0
91,92,2023-08-31,Calça,Marca B,5.0,115.0
92,93,2023-02-24,Camiseta,Marca A,3.0,80.0
93,94,2023-02-14,Camiseta,Marca A,2.0,60.0
94,95,2023-10-25,Calça,Marca B,3.0,115.0
95,96,2023-07-25,Camiseta,Marca B,6.0,90.0
96,97,2023-09-03,Roupa Intíma,Marca C,1.0,35.0
97,98,2023-03-09,Camiseta,Marca B,1.0,105.0
98,99,2023-08-28,Calça,Marca A,3.0,105.0
99,100,2023-10-03,Camiseta,Marca A,2.0,70.0
100,101,2023-11-25,Tênis,Marca A,1.0,165.0
101,102,2023-07-11,Roupa Intíma,Marca C,3.0,35.0
102,103,2023-09-18,Camiseta,Marca A,3.0,85.0
103,104,2023-11-22,Calça,Marca A,3.0,100.0
104,105,2023-05-20,Calça,Marca B,2.0,135.0
105,106,2023-03-11,Tênis,Marca B,2.0,180.0
106,107,2023-03-21,Camiseta,Marca B,2.0,95.0
107,108,2023-03-24,Camiseta,Marca A,2.0,50.0
108,109,2023-12-31,Camiseta,Marca A,5.0,80.0
109,110,2023-07-14,Tênis,Marca B,2.0,190.0
110,111,2023-07-06,Camiseta,Marca A,2.0,70.0
111,112,2023-12-23,Camiseta,Marca A,3.0,75.0
112,113,2023-11-07,Camiseta,Marca A,1.0,60.0
113,114,2023-05-03,Calça,Marca A,2.0,90.0
114,115,2023-02-07,Camiseta,Marca A,3.0,65.0
115,116,2023-05-16,Calça,Marca A,3.0,95.0
116,117,2023-07-27,Tênis,Marca C,6.0,165.0
117,118,2023-05-02,Calça,Marca A,1.0,90.0
118,119,2023-10-21,Tênis,Marca A,1.0,160.0
119,120,2023-08-24,Roupa Intíma,Marca B,8.0,60.0
120,121,2023-04-01,Tênis,Marca A,2.0,160.0
121,122,2023-02-04,Camiseta,Marca B,2.0,85.0
122,123,2023-07-01,Camiseta,Marca B,4.0,75.0
123,124,2023-11-22,Calça,Marca B,4.0,105.0
124,125,2023-05-13,Roupa Intíma,Marca A,2.0,30.0
125,126,2023-04-17,Calça,Marca B,3.0,115.0
126,127,2023-03-13,Calça,Marca A,3.0,70.0
127,128,2023-01-18,Camiseta,Marca B,1.0,70.0
128,129,2023-09-12,Meia,Marca B,2.0,55.0
129,130,2023-09-28,Calça,Marca C,3.0,90.0
130,131,2023-03-25,Camiseta,Marca B,1.0,85.0
131,132,2023-05-17,Camiseta,Marca C,1.0,60.0
132,133,2023-07-12,Calça,Marca A,2.0,95.0
133,134,2023-05-28,Roupa Intíma,Marca C,5.0,20.0
134,135,2023-05-20,Roupa Intíma,Marca B,1.0,70.0
135,136,2023-05-03,Calça,Marca A,1.0,110.0
136,137,2023-08-29,Meia,Marca A,1.0,40.0
137,138,2023-12-09,Tênis,Marca A,3.0,180.0
138,139,2023-08-02,Calça,Marca B,3.0,120.0
139,140,2023-02-24,Roupa Intíma,Marca A,2.0,15.0
140,141,2023-01-27,Calça,Marca A,2.0,105.0
141,142,2023-04-12,Camiseta,Marca A,7.0,55.0
142,143,2023-08-24,Roupa Intíma,Marca A,5.0,35.0
143,144,2023-11-24,Tênis,Marca A,2.0,170.0
144,145,2023-02-02,Camiseta,Marca B,1.0,80.0
145,146,2023-05-28,Calça,Marca A,1.0,105.0
146,147,2023-08-04,Calça,Marca A,3.0,90.0
147,148,2023-05-26,Tênis,Marca A,3.0,155.0
148,149,2024-01-01,Tênis,Marca B,6.0,195.0
149,150,2023-08-08,Calça,Marca B,1.0,95.0
150,151,2023-03-04,Calça,Marca A,4.0,100.0
151,152,2023-11-03,Roupa Intíma,Marca A,1.0,25.0
152,153,2023-04-13,Calça,Marca A,2.0,90.0
153,154,2023-12-08,Tênis,Marca A,3.0,180.0
154,155,2023-10-02,Camiseta,Marca B,2.0,100.0
155,156,2023-02-25,Camiseta,Marca C,3.0,65.0
156,157,2023-12-06,Camiseta,Marca A,2.0,55.0
157,158,2023-09-15,Camiseta,Marca A,1.0,50.0
158,159,2023-02-06,Calça,Marca A,6.0,100.0
159,160,2023-12-13,Camiseta,Marca C,2.0,50.0
160,161,2023-11-20,Tênis,Marca A,2.0,170.0
161,162,2023-11-28,Roupa Intíma,Marca A,5.0,35.0
162,163,2023-07-17,Roupa Intíma,Marca B,2.0,50.0
163,164,2023-11-07,Camiseta,Marca A,4.0,75.0
164,165,2023-05-16,Tênis,Marca A,2.0,160.0
165,166,2023-01-01,Camiseta,Marca A,6.0,70.0
166,167,2023-02-08,Tênis,Marca C,3.0,140.0
167,168,2023-03-06,Roupa Intíma,Marca A,1.0,20.0
168,169,2023-10-26,Meia,Marca B,4.0,65.0
169,170,2023-09-08,Camiseta,Marca A,4.0,55.0
170,171,2023-06-19,Calça,Marca A,1.0,95.0
171,172,2023-08-04,Calça,Marca A,2.0,80.0
172,173,2023-10-17,Camiseta,Marca B,3.0,95.0
173,174,2023-06-05,Camiseta,Marca A,4.0,70.0
174,175,2023-05-28,Calça,Marca A,2.0,105.0
175,176,2023-09-01,Tênis,Marca B,1.0,175.0
177,178,2023-05-03,Camiseta,Marca A,2.0,65.0
179,180,2023-05-23,Calça,Marca A,1.0,90.0
180,181,2023-09-08,Calça,Marca A,8.0,100.0
181,182,2023-04-08,Camiseta,Marca B,5.0,75.0
182,183,2023-01-08,Calça,Marca A,4.0,95.0
183,184,2023-12-25,Camiseta,Marca B,4.0,80.0
184,185,2023-03-03,Tênis,Marca B,2.0,190.0
